bubble,client,epochs,mae,mase,num_samples,rmse,round,smape,stage,strategy,train_samples,wmape
,CA_1_FOODS_1,40,20.105466842651367,3.394711494445801,2506,25.54334259033203,,52.99937129020691,personalized,Local,12195,0.4473594088509361
,CA_1_FOODS_2,40,15.656245231628418,2.159498929977417,2720,21.93296241760254,,49.141642451286316,personalized,Local,13200,0.2529280402525864
,CA_1_FOODS_3,40,44.0532112121582,3.2104616165161133,2670,72.68797302246094,,45.981189608573914,personalized,Local,12965,0.2573134130614492
,CA_1_HOBBIES_1,40,21.261445999145508,2.436201572418213,2707,26.557126998901367,,45.9382563829422,personalized,Local,13136,0.35650188843738306
,CA_1_HOBBIES_2,40,4.59623908996582,4.061870574951172,2482,6.850174427032471,,81.49751424789429,personalized,Local,12087,0.6488377451011552
,CA_1_HOUSEHOLD_1,40,15.329922676086426,3.4667489528656006,2173,21.159101486206055,,32.71666467189789,personalized,Local,10634,0.29208173498463025
,CA_1_HOUSEHOLD_2,40,4.643144130706787,3.114384651184082,2720,6.326168537139893,,61.37591004371643,personalized,Local,13200,0.40185031063051996
,CA_2_FOODS_1,40,19.04621124267578,3.145585536956787,2605,26.238628387451172,,46.04925215244293,personalized,Local,12660,0.30951384524268033
,CA_2_FOODS_2,40,7.956934452056885,2.5865328311920166,2720,11.32896614074707,,55.96274733543396,personalized,Local,13200,0.319980799670626
,CA_2_FOODS_3,40,33.52509689331055,4.050107955932617,2613,49.287635803222656,,45.80540060997009,personalized,Local,12700,0.2029936046794501
,CA_2_HOBBIES_1,40,13.217207908630371,2.105278730392456,2720,16.96563720703125,,42.38613247871399,personalized,Local,13200,0.3663888290851831
,CA_2_HOBBIES_2,40,4.894998073577881,3.840402841567993,2485,8.498688697814941,,74.89843368530273,personalized,Local,12102,0.6229359508625887
,CA_2_HOUSEHOLD_1,40,11.448057174682617,2.136218309402466,2570,16.034149169921875,,33.80363583564758,personalized,Local,12493,0.3091338791318733
,CA_2_HOUSEHOLD_2,40,6.083477973937988,2.9634804725646973,2533,10.801295280456543,,48.088183999061584,personalized,Local,12327,0.41527070890420537
,CA_3_FOODS_1,40,23.37410545349121,3.6910626888275146,2505,32.11251449584961,,56.23560547828674,personalized,Local,12189,0.3878729228356162
,CA_3_FOODS_2,40,17.320030212402344,1.9108073711395264,2720,24.33599853515625,,32.5677752494812,personalized,Local,13200,0.24698664927177444
,CA_3_FOODS_3,40,76.1254653930664,3.5168468952178955,2670,117.93077087402344,,48.98709058761597,personalized,Local,12965,0.2550122758895381
,CA_3_HOBBIES_1,40,24.50019645690918,2.526803970336914,2655,36.59114456176758,,37.888023257255554,personalized,Local,12891,0.35317061529835253
,CA_3_HOBBIES_2,40,5.490707874298096,3.730091094970703,2644,7.81245231628418,,70.53248286247253,personalized,Local,12842,0.5400227519480564
,CA_3_HOUSEHOLD_1,40,24.44650650024414,1.996092677116394,2231,31.065357208251953,,25.158727169036865,personalized,Local,10904,0.24468112250619126
,CA_3_HOUSEHOLD_2,40,7.057671546936035,2.620110034942627,2696,10.293556213378906,,49.667948484420776,personalized,Local,13081,0.37245253042596504
,CA_4_FOODS_1,40,13.372901916503906,3.292461633682251,2450,17.740318298339844,,28.95696759223938,personalized,Local,11935,0.25584177488245885
,CA_4_FOODS_2,40,8.114028930664062,2.3288166522979736,2643,11.859249114990234,,41.72317087650299,personalized,Local,12837,0.2552535101200658
,CA_4_FOODS_3,40,22.674144744873047,3.275358200073242,2720,33.45854949951172,,55.552488565444946,personalized,Local,13200,0.3251613155147426
,CA_4_HOBBIES_1,40,14.201231956481934,2.338711977005005,2649,18.951417922973633,,34.01579260826111,personalized,Local,12860,0.3060201944195635
,CA_4_HOBBIES_2,40,2.093212842941284,3.8899338245391846,2567,3.951709747314453,,95.95106840133667,personalized,Local,12478,0.7746939653607632
,CA_4_HOUSEHOLD_1,40,6.206022262573242,2.7642335891723633,2470,8.3510160446167,,37.57985532283783,personalized,Local,12028,0.30986830136038535
,CA_4_HOUSEHOLD_2,40,3.815480947494507,3.1136014461517334,2547,9.76574993133545,,65.72934985160828,personalized,Local,12391,0.39023532399444233
,TX_1_FOODS_1,40,16.25243377685547,3.8136374950408936,2375,22.2646427154541,,57.59734511375427,personalized,Local,11577,0.435311784574389
,TX_1_FOODS_2,40,12.202570915222168,2.738306760787964,2720,18.265222549438477,,43.3556467294693,personalized,Local,13200,0.31634872794724345
,TX_1_FOODS_3,40,34.73613739013672,2.849400758743286,2670,56.500213623046875,,23.4662726521492,personalized,Local,12965,0.18441179094936064
,TX_1_HOBBIES_1,40,11.383950233459473,2.9269845485687256,2720,15.604805946350098,,58.51954221725464,personalized,Local,13200,0.48808095316900935
,TX_1_HOBBIES_2,40,4.094205856323242,4.783116817474365,2660,6.618454456329346,,85.23790240287781,personalized,Local,12915,0.6371000287012185
,TX_1_HOUSEHOLD_1,40,17.929258346557617,2.8230884075164795,2454,22.905311584472656,,36.225974559783936,personalized,Local,11949,0.33859768081002145
,TX_1_HOUSEHOLD_2,40,10.324417114257812,6.133678436279297,2308,25.792465209960938,,53.343963623046875,personalized,Local,11268,0.515695758353601
,TX_2_FOODS_1,40,14.575227737426758,2.2976927757263184,2521,19.982101440429688,,56.598955392837524,personalized,Local,12263,0.3426443152782768
,TX_2_FOODS_2,40,13.460693359375,2.3119966983795166,2720,18.630830764770508,,51.43250226974487,personalized,Local,13200,0.30326921623398856
,TX_2_FOODS_3,40,43.31551742553711,3.0826215744018555,2720,71.50027465820312,,24.391448497772217,personalized,Local,13200,0.16540416105109237
,TX_2_HOBBIES_1,40,10.494421005249023,2.198141098022461,2720,13.685152053833008,,45.038291811943054,personalized,Local,13200,0.40166639769715456
,TX_2_HOBBIES_2,40,5.788107395172119,3.183964490890503,2658,8.659624099731445,,80.16911149024963,personalized,Local,12911,0.6914201187583967
,TX_2_HOUSEHOLD_1,40,25.183013916015625,3.405346155166626,2504,34.7498664855957,,53.351348638534546,personalized,Local,12184,0.4824213968495255
,TX_2_HOUSEHOLD_2,40,4.129608631134033,2.6200294494628906,2624,5.868183612823486,,42.879411578178406,personalized,Local,12749,0.36003896645625477
,TX_3_FOODS_1,40,20.102684020996094,4.215034484863281,2528,29.158164978027344,,41.810208559036255,personalized,Local,12293,0.30197626678648154
,TX_3_FOODS_2,40,11.809428215026855,1.9637891054153442,2714,18.1979923248291,,49.520400166511536,personalized,Local,13170,0.2674665909697601
,TX_3_FOODS_3,40,43.734214782714844,3.4964377880096436,2720,65.95086669921875,,26.853594183921814,personalized,Local,13200,0.17878090907587738
,TX_3_HOBBIES_1,40,12.669167518615723,2.921781539916992,2361,16.807857513427734,,40.68889617919922,personalized,Local,11524,0.31075365999908466
,TX_3_HOBBIES_2,40,5.339208602905273,3.8938660621643066,2651,8.421789169311523,,114.16653394699097,personalized,Local,12876,0.7550942751396345
,TX_3_HOUSEHOLD_1,40,18.916038513183594,3.2167975902557373,2436,26.031042098999023,,36.87555193901062,personalized,Local,11865,0.3398316217411896
,TX_3_HOUSEHOLD_2,40,4.515182971954346,3.256551742553711,2624,7.0448408126831055,,72.2991406917572,personalized,Local,12749,0.49724429612393617
,WI_1_FOODS_1,40,21.386775970458984,4.482841968536377,2612,28.649944305419922,,46.900296211242676,personalized,Local,12689,0.33555137772629967
