bubble,client,epochs,mae,mase,num_samples,rmse,round,smape,stage,strategy,train_samples,wmape
,CA_1_FOODS_1,300,31.86745834350586,5.380667209625244,2506,46.48967742919922,,60.61044931411743,personalized,Local,12195,0.709071187492168
,CA_1_FOODS_3,300,50.786354064941406,3.7011523246765137,2670,84.65229034423828,,49.082982540130615,personalized,Local,12965,0.2966414706551445
,CA_1_FOODS_2,300,22.937496185302734,3.1638174057006836,2720,32.013057708740234,,58.63786339759827,personalized,Local,13200,0.3705573041640709
,CA_1_HOBBIES_1,300,27.402446746826172,3.1398563385009766,2707,35.902748107910156,,49.94719326496124,personalized,Local,13136,0.4594712801112182
,CA_1_HOUSEHOLD_1,300,20.761411666870117,4.695040225982666,2173,27.95925521850586,,42.26381182670593,personalized,Local,10634,0.39556814445415206
,CA_1_HOBBIES_2,300,5.795024394989014,5.121282577514648,2482,8.696600914001465,,95.4878032207489,personalized,Local,12087,0.8180668283787008
,CA_1_HOUSEHOLD_2,300,5.898843288421631,3.95664381980896,2720,8.204506874084473,,71.87671661376953,personalized,Local,13200,0.5105273487215188
,CA_2_FOODS_1,300,25.378175735473633,4.191344261169434,2605,36.43287658691406,,54.24543023109436,personalized,Local,12660,0.4124125765746681
,CA_2_FOODS_2,300,11.748153686523438,3.8189311027526855,2720,16.089126586914062,,66.54847264289856,personalized,Local,13200,0.47244120931459055
,CA_2_FOODS_3,300,49.673118591308594,6.000921726226807,2613,68.25749969482422,,53.82055044174194,personalized,Local,12700,0.3007694646109499
,CA_2_HOBBIES_1,300,17.324861526489258,2.759558916091919,2720,22.049484252929688,,56.36399984359741,personalized,Local,13200,0.4802554473002507
,CA_2_HOBBIES_2,300,5.798122406005859,4.548954963684082,2485,10.341358184814453,,83.25492143630981,personalized,Local,12102,0.7378672599153797
,CA_2_HOUSEHOLD_1,300,17.55613899230957,3.2759921550750732,2570,24.871007919311523,,47.19078242778778,personalized,Local,12493,0.47407146220338814
,CA_2_HOUSEHOLD_2,300,7.644043922424316,3.7236883640289307,2533,14.064977645874023,,55.89265823364258,personalized,Local,12327,0.5217981319224078
,CA_3_FOODS_1,300,30.691991806030273,4.846648216247559,2505,44.4307861328125,,63.83756995201111,personalized,Local,12189,0.5093068721556132
,CA_3_FOODS_3,300,91.31036376953125,4.218359470367432,2670,152.8087921142578,,52.0887017250061,personalized,Local,12965,0.305880096199685
,CA_3_FOODS_2,300,23.908924102783203,2.6377174854278564,2720,33.666481018066406,,40.682652592659,personalized,Local,13200,0.34094543615424366
,CA_3_HOBBIES_1,300,31.58883285522461,3.2578835487365723,2655,45.21279525756836,,50.016945600509644,personalized,Local,12891,0.45535337985859414
,CA_3_HOBBIES_2,300,6.785855770111084,4.609944820404053,2644,9.91739273071289,,79.18689250946045,personalized,Local,12842,0.6674032933217396
,CA_3_HOUSEHOLD_1,300,37.58134078979492,3.068570852279663,2231,48.026790618896484,,39.546096324920654,personalized,Local,10904,0.3761455375207881
,CA_4_FOODS_1,300,18.23069190979004,4.488469123840332,2450,24.35736656188965,,38.0073219537735,personalized,Local,11935,0.3487778990840102
,CA_3_HOUSEHOLD_2,300,9.604792594909668,3.5657105445861816,2696,13.368565559387207,,59.32015776634216,personalized,Local,13081,0.5068710529952812
,CA_4_FOODS_2,300,11.446722030639648,3.28533673286438,2643,16.69293785095215,,53.925108909606934,personalized,Local,12837,0.36009435702719006
,CA_4_FOODS_3,300,26.835731506347656,3.876513957977295,2720,40.08803939819336,,61.6959273815155,personalized,Local,13200,0.38484105371931476
,CA_4_HOBBIES_1,300,19.62411880493164,3.2317731380462646,2649,25.854995727539062,,46.01146578788757,personalized,Local,12860,0.42287715824042765
,CA_4_HOBBIES_2,300,2.7441821098327637,5.099666118621826,2567,4.7574615478515625,,112.20312118530273,personalized,Local,12478,1.0156164114298363
,CA_4_HOUSEHOLD_2,300,5.237526893615723,4.274054050445557,2547,10.904240608215332,,76.78712606430054,personalized,Local,12391,0.5356776872387722
,CA_4_HOUSEHOLD_1,300,7.749598979949951,3.4517602920532227,2470,10.250191688537598,,45.30463218688965,personalized,Local,12028,0.38693949272516387
,TX_1_FOODS_1,300,24.516998291015625,5.752919673919678,2375,35.88729476928711,,68.29097270965576,personalized,Local,11577,0.656673220035225
,TX_1_FOODS_3,300,49.680213928222656,4.07526159286499,2670,76.72039031982422,,31.58416748046875,personalized,Local,12965,0.2637488852733749
,TX_1_FOODS_2,300,14.191093444824219,3.184539318084717,2720,21.27446746826172,,47.29541540145874,personalized,Local,13200,0.36790069899156796
,TX_1_HOBBIES_1,300,13.586215019226074,3.493220090866089,2720,18.525737762451172,,69.0326988697052,personalized,Local,13200,0.5825019136874289
,TX_1_HOBBIES_2,300,5.308505058288574,6.201740264892578,2660,8.396770477294922,,102.64887809753418,personalized,Local,12915,0.8260572742989785
,TX_1_HOUSEHOLD_1,300,24.690141677856445,3.8876373767852783,2454,33.0698127746582,,44.55784261226654,personalized,Local,11949,0.46627836339776163
,TX_1_HOUSEHOLD_2,300,11.23192310333252,6.67282247543335,2308,25.0439395904541,,59.01162028312683,personalized,Local,11268,0.5610249377122383
