bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
,WI_2_FOODS_3,300,2712,142.3231201171875,,74.05494451522827,personalized,Local,13161
,WI_2_HOBBIES_1,300,2681,16.33938217163086,,51.21662616729736,personalized,Local,13013
,WI_2_HOBBIES_2,300,2539,8.697874069213867,,103.3415675163269,personalized,Local,12352
,WI_2_HOUSEHOLD_1,300,2114,64.1023178100586,,54.32049036026001,personalized,Local,10348
,WI_2_HOUSEHOLD_2,300,2283,9.717827796936035,,45.011141896247864,personalized,Local,11145
,WI_3_FOODS_2,300,2672,27.960023880004883,,58.74054431915283,personalized,Local,12974
,WI_3_FOODS_1,300,2568,53.4885368347168,,60.012269020080566,personalized,Local,12483
,WI_3_FOODS_3,300,2659,101.95497131347656,,29.466864466667175,personalized,Local,12916
,WI_3_HOBBIES_2,300,2718,6.0645060539245605,,112.6167893409729,personalized,Local,13190
,WI_3_HOUSEHOLD_1,300,2436,37.37453842163086,,43.00717115402222,personalized,Local,11865
,WI_3_HOBBIES_1,300,2720,16.787364959716797,,53.582656383514404,personalized,Local,13200
,WI_3_HOUSEHOLD_2,300,2608,12.066388130187988,,72.28100299835205,personalized,Local,12670
0,CA_1_FOODS_1,,2506,25.578393936157227,1,52.84504294395447,federated,Global FedAvg,12195
0,CA_1_FOODS_2,,2720,22.96660804748535,1,48.87790083885193,federated,Global FedAvg,13200
0,CA_1_FOODS_3,,2670,77.23484802246094,1,48.64220321178436,federated,Global FedAvg,12965
0,CA_1_HOBBIES_1,,2707,26.083194732666016,1,40.9459263086319,federated,Global FedAvg,13136
0,CA_1_HOBBIES_2,,2482,7.106692790985107,1,87.62360215187073,federated,Global FedAvg,12087
0,CA_1_HOUSEHOLD_1,,2173,17.158775329589844,1,27.980908751487732,federated,Global FedAvg,10634
0,CA_1_HOUSEHOLD_2,,2720,6.229191303253174,1,60.31200885772705,federated,Global FedAvg,13200
0,CA_2_FOODS_1,,2605,25.390727996826172,1,44.82172131538391,federated,Global FedAvg,12660
0,CA_2_FOODS_2,,2720,13.197737693786621,1,57.377463579177856,federated,Global FedAvg,13200
0,CA_2_FOODS_3,,2613,66.46647644042969,1,50.09016990661621,federated,Global FedAvg,12700
0,CA_2_HOBBIES_1,,2720,16.900903701782227,1,41.72361493110657,federated,Global FedAvg,13200
0,CA_2_HOBBIES_2,,2485,9.012228965759277,1,74.80307221412659,federated,Global FedAvg,12102
0,CA_2_HOUSEHOLD_1,,2570,15.516716003417969,1,35.2312833070755,federated,Global FedAvg,12493
0,CA_2_HOUSEHOLD_2,,2533,9.792625427246094,1,47.38271236419678,federated,Global FedAvg,12327
0,CA_3_FOODS_1,,2505,32.92689514160156,1,56.312549114227295,federated,Global FedAvg,12189
0,CA_3_FOODS_2,,2720,27.524581909179688,1,39.95214104652405,federated,Global FedAvg,13200
0,CA_3_FOODS_3,,2670,139.6600799560547,1,50.81809163093567,federated,Global FedAvg,12965
0,CA_3_HOBBIES_1,,2655,37.07663345336914,1,36.089009046554565,federated,Global FedAvg,12891
0,CA_3_HOBBIES_2,,2644,7.9733757972717285,1,70.8402931690216,federated,Global FedAvg,12842
0,CA_3_HOUSEHOLD_1,,2231,33.97429656982422,1,28.423863649368286,federated,Global FedAvg,10904
0,CA_3_HOUSEHOLD_2,,2696,11.598481178283691,1,52.998900413513184,federated,Global FedAvg,13081
0,CA_4_FOODS_1,,2450,18.06462287902832,1,29.839658737182617,federated,Global FedAvg,11935
0,CA_4_FOODS_2,,2643,12.219161033630371,1,41.97211563587189,federated,Global FedAvg,12837
0,CA_4_FOODS_3,,2720,36.83853530883789,1,57.062965631484985,federated,Global FedAvg,13200
0,CA_4_HOBBIES_1,,2649,20.068397521972656,1,35.580673813819885,federated,Global FedAvg,12860
0,CA_4_HOBBIES_2,,2567,4.07011079788208,1,111.08784675598145,federated,Global FedAvg,12478
0,CA_4_HOUSEHOLD_1,,2470,8.201786994934082,1,37.838563323020935,federated,Global FedAvg,12028
0,CA_4_HOUSEHOLD_2,,2547,9.988571166992188,1,68.14858913421631,federated,Global FedAvg,12391
0,TX_1_FOODS_1,,2375,23.35809326171875,1,57.61668086051941,federated,Global FedAvg,11577
0,TX_1_FOODS_2,,2720,20.123409271240234,1,46.856582164764404,federated,Global FedAvg,13200
0,TX_1_FOODS_3,,2670,61.45274353027344,1,25.170719623565674,federated,Global FedAvg,12965
0,TX_1_HOBBIES_1,,2720,15.167276382446289,1,57.85961151123047,federated,Global FedAvg,13200
0,TX_1_HOBBIES_2,,2660,6.4681854248046875,1,90.79949855804443,federated,Global FedAvg,12915
0,TX_1_HOUSEHOLD_1,,2454,22.747920989990234,1,36.46160066127777,federated,Global FedAvg,11949
0,TX_1_HOUSEHOLD_2,,2308,30.69588279724121,1,59.98045206069946,federated,Global FedAvg,11268
0,TX_2_FOODS_1,,2521,21.348388671875,1,57.476794719696045,federated,Global FedAvg,12263
0,TX_2_FOODS_2,,2720,20.010482788085938,1,52.78000831604004,federated,Global FedAvg,13200
0,TX_2_FOODS_3,,2720,85.83112335205078,1,28.99656891822815,federated,Global FedAvg,13200
0,TX_2_HOBBIES_1,,2720,13.694151878356934,1,45.39915323257446,federated,Global FedAvg,13200
0,TX_2_HOBBIES_2,,2658,8.590670585632324,1,80.97054958343506,federated,Global FedAvg,12911
0,TX_2_HOUSEHOLD_1,,2504,34.24494171142578,1,56.469690799713135,federated,Global FedAvg,12184
0,TX_2_HOUSEHOLD_2,,2624,5.9929633140563965,1,44.34702396392822,federated,Global FedAvg,12749
0,TX_3_FOODS_1,,2528,42.16730499267578,1,47.06833362579346,federated,Global FedAvg,12293
0,TX_3_FOODS_2,,2714,20.63700294494629,1,50.89656710624695,federated,Global FedAvg,13170
0,TX_3_FOODS_3,,2720,74.07778930664062,1,28.838208317756653,federated,Global FedAvg,13200
0,TX_3_HOBBIES_1,,2361,33.2623291015625,1,46.31791412830353,federated,Global FedAvg,11524
0,TX_3_HOBBIES_2,,2651,8.753972053527832,1,118.71654987335205,federated,Global FedAvg,12876
0,TX_3_HOUSEHOLD_1,,2436,24.996549606323242,1,36.75442337989807,federated,Global FedAvg,11865
0,TX_3_HOUSEHOLD_2,,2624,6.905990123748779,1,70.66470980644226,federated,Global FedAvg,12749
0,WI_1_FOODS_1,,2612,27.317455291748047,1,44.577160477638245,federated,Global FedAvg,12689
0,WI_1_FOODS_2,,2323,23.528057098388672,1,48.962196707725525,federated,Global FedAvg,11336
0,WI_1_FOODS_3,,2720,43.78013229370117,1,29.672887921333313,federated,Global FedAvg,13200
0,WI_1_HOBBIES_1,,2699,17.610700607299805,1,29.896262288093567,federated,Global FedAvg,13102
0,WI_1_HOBBIES_2,,2719,4.153527736663818,1,96.8645691871643,federated,Global FedAvg,13195
0,WI_1_HOUSEHOLD_1,,2502,16.735355377197266,1,37.1030330657959,federated,Global FedAvg,12174
